musicId,title,type,writer,composer,producer,genre,artist,album,releaseDate,src,duration,language,likes,downloads,lyrics,label,playCount,musicMood,storageTime,id,dramatic,aggressive,romantic,happy,sad,user_id,checkin_emotion_value,positive,negative,music_path
61,ツユ - テリトリーバトル.mp3,normal,,,,POP,,,,test/ツユ - テリトリーバトル.mp3,0,,0,0,,,0,,2023-12-19T21:14:58,6592abea3713042ee2067c34,1.3950767e-08,0.9999361,6.1459796e-05,2.3737257e-06,5.4115254e-11,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\61.wav
62,ツユ - 泥の分際で私だけの大切を奪おうだなんて.mp3,normal,,,,POP,,,,test/ツユ - 泥の分際で私だけの大切を奪おうだなんて.mp3,0,,0,0,,,0,,2023-12-19T21:15:21,6592abea3713042ee2067c35,0.44201726,0.55356723,0.0002558075,0.004021041,0.0001386607,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\62.wav
63,ナナヲアカリ - 忘れないでベイベー.mp3,normal,,,,POP,,,,test/ナナヲアカリ - 忘れないでベイベー.mp3,0,,0,0,,,0,,2023-12-19T21:15:58,6592abea3713042ee2067c36,0.17631218,0.76348555,0.02563726,0.029090924,0.005474195,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\63.wav
64,变奏的梦想 - 扬州~柳外残阳~.mp3,normal,,,,INSTRUMENTAL,,,,test/变奏的梦想 - 扬州~柳外残阳~.mp3,0,,0,0,,,0,,2023-12-19T21:16:40,6592abeb3713042ee2067c46,0.8485922,0.00047353606,0.11427923,0.00066432403,0.03599078,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\64.wav
65,不才 - 捞月谣.mp3,normal,,,,POP,,,,test/不才 - 捞月谣.mp3,0,,0,0,,,0,,2023-12-19T21:17:08,6592abea3713042ee2067c3c,0.0104675805,0.05776458,0.012912584,0.90874255,0.010112808,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\65.wav
67,单依纯 - 永不失联的爱 (Live版).mp3,normal,,,,RNB_SOUL,,,,test/单依纯 - 永不失联的爱 (Live版).mp3,0,,0,0,,,0,,2023-12-19T21:17:42,6592abeb3713042ee2067c44,0.7173303,0.015997095,0.15440688,0.027697578,0.0845682,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\67.wav
68,"当真伊都子,小瀬村晶 - Reborn.mp3",normal,,,,INSTRUMENTAL,,,,"test/当真伊都子,小瀬村晶 - Reborn.mp3",0,,0,0,,,0,,2023-12-19T21:18:16,6592abec3713042ee2067c58,0.77729297,0.0074188984,0.1545014,0.042452153,0.018334564,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\68.wav
70,"当真伊都子,小瀬村晶 - Will.mp3",normal,,,,INSTRUMENTAL,,,,"test/当真伊都子,小瀬村晶 - Will.mp3",0,,0,0,,,0,,2023-12-19T21:18:35,6592abec3713042ee2067c59,1.06104725e-08,0.0054030856,0.0006258082,2.8944097e-08,0.9939711,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\70.wav
71,封茗囧菌 - 今日重到苏澜桥.mp3,normal,,,,POP,,,,test/封茗囧菌 - 今日重到苏澜桥.mp3,0,,0,0,,,0,,2023-12-19T21:19:07,6592abec3713042ee2067c52,0.4429934,0.00901257,0.29741162,0.0010493376,0.24953309,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\71.wav
72,冯曦妤 - 阳光.雨.mp3,normal,,,,POP,,,,test/冯曦妤 - 阳光.雨.mp3,0,,0,0,,,0,,2023-12-19T21:19:29,6592abeb3713042ee2067c3f,0.087480806,0.031580664,0.6233542,0.08256343,0.17502087,2,52.9,0.984919,0.0150808,C:\Users\86181\Desktop\MicroServices\microArch-final-project\heartWave\EmotionProcessor\src\python\72.wav
